,BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION,Type,Year
116,Independence,4024 N. Elston Ave.,Chicago,60618,5491,5189,2275,0,0,1965,2776,2622,2865,2998,2025,1716,29922,POINT (-87.719889 41.954219),Visitors,2020
117,Lozano,1805 S. Loomis St.,Chicago,60608,10498,9411,6806,0,0,1945,3316,3001,3204,4051,3390,2148,47770,POINT (-87.661298 41.857604),Visitors,2020
118,South Shore,2505 E. 73rd St.,Chicago,60649,0,0,0,0,0,0,389,1086,1097,1262,894,387,5115,POINT (-87.563672 41.762654),Visitors,2020
119,Chinatown,2100 S. Wentworth Ave.,Chicago,60616,19325,14701,10222,0,0,1884,3375,4147,4159,4854,3129,3176,68972,POINT (-87.631794 41.854267),Visitors,2020
120,Douglass,3353 W. 13th St.,Chicago,60623,0,0,0,0,0,388,1230,756,568,919,663,512,5036,POINT (-87.709792 41.864527),Visitors,2020
121,Logan Square,3030 W. Fullerton Ave.,Chicago,60647,12501,11545,6711,0,0,4243,6795,8731,7027,0,4890,6146,68589,POINT (-87.703483 41.924806),Visitors,2020
122,Roden,6083 N. Northwest Hwy.,Chicago,60631,736,3742,5078,0,0,2337,3306,1621,2654,3238,2448,2791,27951,POINT (-87.798265 41.991862),Visitors,2020
123,Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,1591,1375,634,0,0,0,0,0,0,0,0,0,3600,POINT (-87.79846800000001 41.921134),Visitors,2020
124,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,7252,5970,3967,0,0,542,832,873,851,835,620,595,22337,POINT (-87.74730500000001 41.895019),Visitors,2020
125,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,10699,9981,5663,0,0,2034,3654,4991,4948,5154,4552,4813,56489,POINT (-87.680298 41.912224),Visitors,2020
126,North Pulaski,4300 W. North Ave.,Chicago,60639,3209,2994,2029,0,0,444,1013,2274,2178,2259,1795,1567,19762,POINT (-87.733923 41.909856),Visitors,2020
127,McKinley Park,1915 W. 35th St.,Chicago,60609,6531,5301,3513,0,0,3604,4401,4118,4015,3820,2851,610,38764,POINT (-87.67345 41.830421),Visitors,2020
128,West Town,1625 W. Chicago Ave.,Chicago,60622,9179,8264,5392,0,0,3076,3349,1767,5587,6650,4183,3107,50554,POINT (-87.668233 41.89606),Visitors,2020
129,Beverly,1962 W. 95th St.,Chicago,60643,2881,2843,1537,0,0,1119,1360,2003,1442,1753,1348,1136,17422,POINT (-87.672288 41.721148),Visitors,2020
130,Legler Regional,115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,0,0,0,0,0,0,108,108,POINT (-87.725593 41.879302),Visitors,2020
131,Toman,2708 S. Pulaski Rd.,Chicago,60623,4196,4295,3589,0,0,1121,2017,1956,1780,2010,1526,1267,23757,POINT (-87.724477 41.842073),Visitors,2020
132,Austin,5615 W. Race Ave.,Chicago,60644,9335,9562,5390,0,0,1838,3614,4584,4122,3932,3152,2923,48452,POINT (-87.766942 41.889281),Visitors,2020
133,Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,5270,4718,2997,0,0,2835,3551,2569,2661,3458,2832,2452,33343,POINT (-87.761964 41.967648),Visitors,2020
134,Mayfair,4400 W. Lawrence Ave.,Chicago,60630,3412,2898,2123,0,0,696,1393,1833,1751,1971,1530,1348,18955,POINT (-87.738158 41.96815),Visitors,2020
135,South Chicago,9055 S. Houston Ave.,Chicago,60617,6489,6023,3457,0,0,2055,2827,3213,3161,3210,2064,0,32499,POINT (-87.549849 41.730371),Visitors,2020
136,Clearing,6423 W. 63rd Pl.,Chicago,60638,4334,4137,3327,0,0,3125,3251,3085,2800,2300,2035,1894,30288,POINT (-87.782282 41.7768),Visitors,2020
137,Merlo,644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-87.646055 41.940054),Visitors,2020
138,Uptown,929 W. Buena Ave.,Chicago,60613,10289,10115,6286,0,0,3292,4855,4682,4650,5061,3941,4365,57536,POINT (-87.654217 41.95846),Visitors,2020
139,Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2301,5013,3568,0,0,1905,3726,3706,2917,3224,2730,2529,31619,POINT (-87.703231 41.781967),Visitors,2020
140,Harold Washtington Library Center,400 S. State St.,Chicago,60605,104255,102202,75066,0,0,23673,36325,35144,44570,51962,40119,41058,554374,POINT (-87.627695 41.876301),Visitors,2020
141,Brighton Park,4314 S. Archer Ave.,Chicago,60632,3894,3562,2639,0,0,561,1346,1323,1174,1638,1194,1139,18470,POINT (-87.703067 41.814848),Visitors,2020
142,West Englewood,1745 W. 63rd St.,Chicago,60636,5207,4909,3212,0,0,1557,2192,2483,2437,2533,1836,1810,28176,POINT (-87.66821 41.779364),Visitors,2020
143,Little Village,2311 S. Kedzie Ave.,Chicago,60623,5288,4917,3508,0,0,614,1443,1652,1762,1893,1430,1332,23839,POINT (-87.705179 41.849599),Visitors,2020
144,Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,12707,11844,6818,0,0,4330,5711,4372,3794,2242,3484,2436,57738,POINT (-87.670434 41.940599),Visitors,2020
145,Gage Park,2807 W. 55th St.,Chicago,60632,2058,1942,1311,0,0,0,0,0,0,0,0,0,5311,POINT (-87.694138 41.793722),Visitors,2020
146,Northtown,6800 N. Western Ave.,Chicago,60645,0,13474,7864,0,0,5612,9002,9342,9046,7657,5881,6184,74062,POINT (-87.690175 42.00536),Visitors,2020
147,Dunning,7455 W. Cornelia Ave.,Chicago,60634,7328,7572,4237,0,0,3678,4873,6846,6185,5341,4086,4224,54370,POINT (-87.813899 41.94331),Visitors,2020
148,Bezazian,1226 W. Ainslie St.,Chicago,60640,9959,9130,6567,0,0,2147,2596,2802,2700,2787,2265,413,41366,POINT (-87.66074 41.971414),Visitors,2020
149,West Pullman,830 W. 119th St.,Chicago,60643,8338,7884,7611,0,0,649,1267,1529,1673,1966,1184,1160,33261,POINT (-87.64332700000001 41.677819),Visitors,2020
150,Pullman,11001 S. Indiana Ave.,Chicago,60628,3775,3410,2215,0,0,725,2492,1654,0,0,1149,1729,17149,POINT (-87.618295 41.694366),Visitors,2020
151,Jeffery Manor,2401 E. 100th St.,Chicago,60617,3563,3191,2427,0,0,2145,2561,2678,3099,2876,1811,1697,26048,POINT (-87.565489 41.713513),Visitors,2020
